20.04;5.3500000000000005
21.22;5.37
22.45;5.39
23.79;5.41
25.21;5.42
26.7;5.43
28.330000000000002;5.45
30.0;5.46
31.8;5.47
33.62;5.49
35.63;5.5
37.76;5.5
40.0;5.5200000000000005
42.36;5.53
44.910000000000004;5.54
47.53;5.54
50.45;5.5600000000000005
53.39;5.5600000000000005
56.59;5.57
60.050000000000004;5.58
63.49;5.59
67.3;5.6000000000000005
71.29;5.61
75.62;5.61
80.01;5.62
84.73;5.63
89.79;5.64
95.16;5.65
100.96000000000001;5.65
106.67;5.66
113.3;5.67
119.92;5.67
127.08;5.68
134.54;5.69
142.62;5.69
151.1;5.7
160.0;5.71
169.47;5.71
179.54;5.72
190.26;5.73
201.51;5.63
213.63;5.64
226.42000000000002;5.65
239.67000000000002;5.66
254.12;5.67
269.11;5.67
285.28000000000003;5.67
302.47;5.68
320.07;5.69
338.86;5.69
359.29;5.7
380.68;5.7
403.77;5.71
427.2;5.71
453.18;5.72
479.3;5.72
507.92;5.72
537.92;5.73
570.72;5.73
604.4;5.74
640.0;5.74
677.71;5.74
718.5600000000001;5.75
761.34;5.75
806.5600000000001;5.75
854.5500000000001;5.76
905.03;5.76
958.91;5.76
1015.2;5.76
1078.2;5.76
1140.5;5.76
1208.6000000000001;5.76
1280.4;5.75
1355.9;5.75
1437.4;5.75
1522.6000000000001;5.74
1611.4;5.66
1708.6000000000001;5.64
1809.3000000000002;5.64
1917.9;5.63
2032.4;5.62
2153.5;5.62
2284.2000000000003;5.6000000000000005
2417.1;5.6000000000000005
2562.1000000000004;5.58
2712.1000000000004;5.57
2875.6000000000004;5.55
3044.9;5.53
3227.0;5.5200000000000005
3417.4;5.5
3620.9;5.48
3835.7000000000003;5.46
4070.3;5.43
4305.900000000001;5.41
4562.5;5.38
4834.1;5.3500000000000005
5130.200000000001;5.3100000000000005
5424.1;5.28
5749.1;5.24
6089.200000000001;5.2
6446.900000000001;5.15
6833.6;5.1000000000000005
7237.200000000001;5.04
7671.8;4.98
8128.0;4.92
8609.4;4.8500000000000005
9125.1;4.7700000000000005
9668.7;4.69
10245.0;4.61
10867.0;4.51
11496.0;4.42
12178.0;4.32
12909.0;4.22
13697.0;4.03
14489.0;3.92
15344.0;3.81
16260.0;3.69
17230.0;3.5700000000000003
18251.0;3.45
19335.0;3.33
20487.0;3.22
21685.0;3.09
22988.0;2.971
24361.0;2.517
25815.0;2.406
27359.0;2.297
29007.0;2.182
30660.0;2.084
32568.0;1.979
34463.0;1.8840000000000001
36484.0;1.788
38682.0;1.696
